Date,pos_META,pos_AAPL,pos_AMZN,pos_NFLX,pos_GOOG,ret_META,ret_AAPL,ret_AMZN,ret_NFLX,ret_GOOG
2016-04-27,0,0,1,0,0,0.0,-0.0,-0.016713108458223047,-0.0,-0.0
2016-04-28,0,0,1,0,0,0.0,-0.0,-0.00753417942126311,-0.0,-0.0
2016-04-29,0,0,1,0,0,0.0,-0.0,0.09566443185819673,-0.0,0.0
2016-05-02,0,0,1,0,0,0.0,-0.0,0.03678046234647003,0.0,0.0
2016-05-03,0,0,1,0,0,-0.0,0.0,-0.0183227069227061,-0.0,-0.0
2016-05-04,0,0,1,0,0,0.0,-0.0,-0.000625743965934844,-0.0,0.0
2016-05-05,0,0,1,0,0,-0.0,-0.0,-0.01760321687769084,-0.0,0.0
2016-05-06,1,-1,1,0,0,0.0,-0.0,0.022546240090086433,0.0,0.0
2016-05-09,1,-1,1,0,0,-0.0020921461709022537,-0.0007548336113161191,0.008606007269745364,-0.0,0.0
2016-05-10,1,-1,1,0,0,0.010566868478674385,-0.006789368844590804,0.03430674196057093,0.0,0.0
2016-05-11,1,-1,1,0,0,-0.00813287239942706,0.00974092148425032,0.014450891828668544,-0.0,-0.0
2016-05-12,1,-1,1,0,0,0.006358936863496867,0.023456668814898496,0.006589756930776014,-0.0,-0.0
2016-05-13,1,0,1,1,0,-0.003907651077163288,-0.0019919644455757,-0.011157111565377131,0.0,-0.0
2016-05-16,1,0,1,1,0,-0.00951509272453277,0.0,0.0010424432376223702,0.014110213153378792,0.0
2016-05-17,1,0,1,1,0,-0.01112328452016953,-0.0,-0.021655945513589514,-0.005498266136250263,-0.0
2016-05-18,1,0,1,1,0,0.002556607033217251,0.0,0.003135505889745094,0.021098982337042882,0.0
2016-05-19,0,0,1,1,0,-0.007139957801510555,-0.0,0.0015340830839882802,-0.010497203847979919,-0.0
2016-05-20,0,0,1,1,1,0.0,0.0,0.006127260778355126,0.03283076171770172,0.0
2016-05-23,0,0,1,1,1,-0.0,0.0,-0.008608362806592496,0.02594876831345494,-0.007749248983383916
2016-05-24,0,0,1,1,1,0.0,0.0,0.010692430348859583,0.03161555505634528,0.022506519230133692
2016-05-25,0,0,1,1,1,0.0,0.0,0.005893225309828942,0.023597891235026758,0.007193456432720735
2016-05-26,0,0,1,1,1,0.0,0.0,0.0092609336974534,0.026047911076282126,-0.0015855284570583938
2016-05-27,0,0,1,1,1,-0.0,-0.0,-0.003734712076280511,0.00476612688260003,0.011793551428568083
2016-05-31,0,0,1,1,1,-0.0,-0.0,0.014812427266666317,-0.007066828028725491,0.00417651733079083
2016-06-01,0,0,1,1,1,-0.0,-0.0,-0.004634805235053108,-0.010334382000073639,-0.0021339183598209077
2016-06-02,0,0,1,1,1,0.0,-0.0,0.012231697576333245,-0.002561344998116888,-0.005107955762997829
2016-06-03,0,0,1,0,0,-0.0,0.0,-0.003707522964191301,-0.016395097897376587,-0.011035155120245888
2016-06-06,0,0,1,0,0,0.0,0.0,0.0016400979284734163,0.0,-0.0
2016-06-07,0,0,1,0,0,-0.0,0.0,-0.004114265077721169,-0.0,0.0
2016-06-08,0,0,1,0,0,0.0,-0.0,0.004006976446323973,-0.0,0.0
2016-06-09,0,0,1,0,0,0.0,0.0,0.0013899306777587217,-0.0,0.0
2016-06-10,1,1,0,0,0,-0.0,-0.0,-0.013385542934204464,-0.0,-0.0
2016-06-13,0,1,0,0,0,-0.02289487032682147,-0.01507601324933494,-0.0,0.0,-0.0
2016-06-14,0,1,0,0,0,0.0,0.001232534869321178,0.0,0.0,-0.0
2016-06-15,0,0,0,0,0,-0.0,-0.0032831993701578632,-0.0,0.0,0.0
2016-06-16,0,0,0,0,0,-0.0,0.0,0.0,0.0,-0.0
2016-06-17,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0
2016-06-20,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0
2016-06-21,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0
2016-06-22,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,0.0
2016-06-23,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2016-06-24,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0
2016-06-27,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0
2016-06-28,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2016-06-29,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2016-06-30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2016-07-01,0,0,0,1,1,-0.0,0.0,0.0,0.0,0.0
2016-07-05,0,0,0,1,1,0.0,-0.0,0.0,0.012827200958429374,-0.0060925723394776865
2016-07-06,0,0,0,1,1,0.0,0.0,0.0,-0.03380660876503705,0.004057837027290345
2016-07-07,0,0,0,1,1,-0.0,0.0,-0.0,0.005285412347409091,-0.003453898317735571
2016-07-08,1,1,1,1,1,0.0,0.0,0.0,0.020609875035970893,0.014769546881861162
2016-07-11,1,1,1,1,1,0.005373630344648994,0.0031031505243614976,0.010686328376066534,-0.024623938283180213,0.013406309816064166
2016-07-12,1,1,1,1,1,0.0005090265264950933,0.004537075700718152,-0.0073894136050352,0.013731943349548414,0.007761418556828659
2016-07-13,1,1,1,1,1,-0.009751464838505641,-0.005645793844136215,-0.007457781419643927,0.004793154929890964,-0.005078893019413444
2016-07-14,1,1,1,1,1,0.004367175630375142,0.0198202945699395,-0.0019255583636400564,0.01648860658362228,0.00553701586332922
2016-07-15,1,1,0,1,1,-0.003666215422700181,-0.00010114732014154804,-0.007771235927900411,0.003774767998915296,-0.0015258791598746768
2016-07-18,1,1,0,1,1,0.021478691738617606,0.010629747205078477,0.0,0.004268707912905123,0.019351434966782932
2016-07-19,1,1,0,0,1,0.010387903642666396,0.0004005417104855358,0.0,-0.13126203361164934,0.004333556103827796
2016-07-20,1,1,0,0,1,0.010861435044478895,0.0009013181296619877,0.0,0.0,0.005739836069606374
2016-07-21,1,1,0,0,1,-0.010744731837554866,-0.005302156117100276,-0.0,-0.0,-0.0034538669972054015
2016-07-22,1,0,0,0,1,0.0032335701159948993,-0.007744345594184576,0.0,-0.0,0.005564413296810677
2016-07-25,1,0,0,0,1,0.005206647836792255,-0.0,-0.0,0.0,-0.003998831739213116
2016-07-26,1,0,0,0,1,-0.003370988407351838,-0.0,-0.0,0.0,-0.0018247407768454682
2016-07-27,1,0,0,0,1,0.01748885565940883,0.0,0.0,0.0,0.004536746491878185
2016-07-28,1,0,0,0,1,0.013458830751942097,0.0,0.0,-0.0,0.005581245358670772
2016-07-29,1,0,0,0,1,-0.008479995568552168,-0.0,0.0,-0.0,0.030673790892226105
2016-08-01,1,0,0,0,1,0.0029852841021280607,0.0,0.0,0.0,0.0053200402270339175
2016-08-02,1,0,0,0,1,-0.009814229963434618,-0.0,-0.0,-0.0,-0.0023418121403906422
2016-08-03,1,0,0,0,1,-0.004712000809239836,0.0,-0.0,-0.0,0.0027365348270356193
2016-08-04,1,0,0,0,1,0.015100838723834498,0.0,0.0,0.0,-0.0020307299917956545
2016-08-05,1,0,0,0,1,0.0063525586404749035,0.0,0.0,0.0,0.013750452219264186
2016-08-08,1,0,0,0,1,0.0008789095265413494,0.0,0.0,-0.0,-0.0005879390688113828
2016-08-09,1,0,0,0,1,-0.0015966307554975412,0.0,0.0,-0.0,0.003197982596316651
2016-08-10,1,0,0,0,1,-0.0014392840703454368,-0.0,0.0,-0.0,0.0005354770961842892
2016-08-11,1,0,0,0,1,0.00016013046483620563,-0.0,0.0,0.0,0.00021664104761454084
